's-Gravenhage;Zuid-Holland;5757;297;51486
's-Hertogenbosch;Noord-Brabant;5717;366;15088
Aalsmeer;Noord-Holland;5779;330;3107
Aalten;Gelderland;5742;454;2690
Alblasserdam;Zuid-Holland;5735;322;1984
Alkmaar;Noord-Holland;5821;328;10710
Almelo;Overijssel;5789;460;7229
Almere;Flevoland;5791;362;19693
Alphen aan den Rijn;Zuid-Holland;5765;322;10739
Amersfoort;Zuid-Holland;5768;372;15248
Amstelveen;Noord-Holland;5783;335;8716
Amsterdam;Noord-Holland;5791;337;82175
Apeldoorn;Gelderland;5773;413;15809
Appingedam;Groningen;5896;474;1201
Arnhem;Gelderland;5747;408;15229
Assen;Drenthe;5861;453;6716
Asten;Noord-Brabant;5684;397;1655
Baarle-Nassau;Noord-Brabant;5689;340;659
Baarn;Utrecht;5773;365;2440
Barendrecht;Zuid-Holland;5734;312;4752
Barneveld;Gelderland;5765;386;5470
Bedum;Groningen;5894;456;1044
Beek;Limburg;5633;401;1621
Beesel;Limburg;5669;417;1351
Bergeijk;Noord-Brabant;5674;369;1820
Bergen (L);Limburg;5706;418;1315
Bergen (NH);Noord-Holland;5822;325;3000
Bergen op Zoom;Noord-Brabant;5694;297;6632
Best;Noord-Brabant;5695;372;2873
Beverwijk;Noord-Holland;5799;322;4018
Bladel;Noord-Brabant;5680;360;1986
Blaricum;Noord-Holland;5781;363;931
Bloemendaal;Noord-Holland;5795;319;2225
Boekel;Noord-Brabant;5706;392;1011
Borne;Overijssel;5783;466;2199
Boxmeer;Noord-Brabant;5711;411;2834
Boxtel;Noord-Brabant;5704;368;3033
Breda;Noord-Brabant;5704;330;18093
Brielle;Zuid-Holland;5739;288;1646
Brummen;Gelderland;5760;425;2098
Brunssum;Limburg;5633;412;2865
Bunnik;Utrecht;5757;359;1466
Buren;Gelderland;5740;368;2611
Bussum;Noord-Holland;5780;357;3287
Capelle aan den IJssel;Zuid-Holland;5743;317;6647
Castricum;Noord-Holland;5811;323;3436
Coevorden;Drenthe;5823;466;3553
Cuijk;Noord-Brabant;5720;406;2464
Culemborg;Gelderland;5745;361;2756
Dalfsen;Overijssel;5807;433;2767
De Bilt;Utrecht;5762;358;4216
Delft;Zuid-Holland;5750;301;10103
Delfzijl;Groningen;5897;477;2540
Den Helder;Noord-Holland;5855;329;5648
Deurne;Noord-Brabant;5690;400;3176
Deventer;Overijssel;5778;427;9854
Diemen;Noord-Holland;5787;343;2666
Doesburg;Gelderland;5751;424;1135
Doetinchem;Gelderland;5746;435;5648
Dongen;Noord-Brabant;5709;341;2539
Dordrecht;Zuid-Holland;5728;323;11889
Drimmelen;Noord-Brabant;5717;332;2670
Dronten;Flevoland;5808;395;4036
Druten;Gelderland;5737;387;1829
Duiven;Gelderland;5744;416;2554
Ede;Gelderland;5754;391;11157
Eemnes;Utrecht;5778;363;880
Eersel;Noord-Brabant;5679;367;1834
Eindhoven;Noord-Brabant;5689;378;22320
Elburg;Gelderland;5799;404;2284
Emmen;Drenthe;5836;477;10777
Enkhuizen;Noord-Holland;5828;365;1834
Enschede;Overijssel;5774;476;15855
Epe;Gelderland;5788;413;3221
Ermelo;Gelderland;5783;388;2619
Etten-Leur;Noord-Brabant;5703;321;4250
Geertruidenberg;Noord-Brabant;5717;335;2157
Geldermalsen;Gelderland;5737;366;2632
Gennep;Limburg;5716;413;1728
Goes;Zeeland;5695;269;3715
Goirle;Noord-Brabant;5697;349;2301
Gorinchem;Zuid-Holland;5732;344;3533
Gouda;Zuid-Holland;5752;326;7110
Grave;Noord-Brabant;5723;396;1284
Groesbeek;Gelderland;5725;410;3425
Groningen;Groningen;5885;453;20033
Grootegast;Groningen;5884;433;1212
Haaksbergen;Overijssel;5767;466;2430
Haaren;Noord-Brabant;5706;361;1352
Haarlem;Noord-Holland;5792;321;15664
Hardenberg;Overijssel;5813;457;5957
Harderwijk;Gelderland;5788;388;4577
Hardinxveld-Giessendam;Zuid-Holland;5731;335;1780
Harlingen;Friesland;5879;375;1577
Hattem;Gelderland;5802;419;1182
Heemskerk;Noord-Holland;5806;323;3913
Heemstede;Noord-Holland;5788;319;2648
Heerde;Gelderland;5793;417;1851
Heerenveen;Friesland;5856;409;5014
Heerhugowaard;Noord-Holland;5823;334;5355
Heerlen;Limburg;5625;412;8750
Heiloo;Noord-Holland;5816;325;2255
Hellendoorn;Overijssel;5794;446;3562
Hellevoetsluis;Zuid-Holland;5732;286;3888
Helmond;Noord-Brabant;5692;391;8971
Hendrik-Ido-Ambacht;Zuid-Holland;5732;320;2915
Heumen;Gelderland;5724;404;1638
Heusden;Noord-Brabant;5720;355;4313
Hillegom;Zuid-Holland;5782;316;2110
Hilvarenbeek;Noord-Brabant;5693;355;1504
Hilversum;Noord-Holland;5775;357;8716
Hoogeveen;Drenthe;5830;447;5486
Hoorn;Noord-Holland;5821;350;7188
Houten;Utrecht;5753;357;4863
Huizen;Noord-Holland;5783;363;4131
Hulst;Zeeland;5671;280;2736
IJsselstein;Utrecht;5752;348;3406
Kampen;Overijssel;5811;408;5143
Kapelle;Zeeland;5693;274;1254
Katwijk;Zuid-Holland;5772;305;6363
Kerkrade;Limburg;5624;418;4652
Krimpen aan den IJssel;Zuid-Holland;5741;318;2897
Landgraaf;Limburg;5629;416;3745
Landsmeer;Noord-Holland;5797;339;1082
Leek;Groningen;5878;440;1947
Leerdam;Zuid-Holland;5738;352;2056
Leeuwarden;Friesland;5883;401;10769
Leiden;Zuid-Holland;5767;310;12156
Leiderdorp;Zuid-Holland;5767;313;2685
Lelystad;Flevoland;5806;378;7641
Leusden;Utrecht;5764;375;2906
Lisse;Zuid-Holland;5778;315;2253
Lochem;Gelderland;5767;443;3324
Loon op Zand;Noord-Brabant;5708;351;2296
Lopik;Utrecht;5747;341;1409
Loppersum;Groningen;5897;466;1014
Losser;Overijssel;5779;484;2246
Maassluis;Zuid-Holland;5742;293;3220
Maastricht;Limburg;5623;393;12239
Marum;Groningen;5876;433;1031
Medemblik;Noord-Holland;5835;353;4360
Meerssen;Zuid-Holland;5627;397;1906
Meppel;Drenthe;5827;428;3279
Moerdijk;Noord-Brabant;5716;319;3681
Montfoort;Utrecht;5755;342;1367
Muiden;Noord-Holland;5786;350;624
Naarden;Noord-Holland;5782;356;1720
Nederweert;Limburg;5671;397;1677
Neerijnen;Gelderland;5732;365;1203
Nieuwegein;Utrecht;5753;351;6126
Nieuwkoop;Zuid-Holland;5766;330;2711
Nijkerk;Gelderland;5774;379;4087
Nijmegen;Gelderland;5731;403;17068
Noordwijk;Zuid-Holland;5776;307;2560
Noordwijkerhout;Zuid-Holland;5778;310;1606
Nunspeet;Gelderland;5792;400;2674
Nuth;Limburg;5630;406;1549
Oegstgeest;Zuid-Holland;5770;309;2299
Oirschot;Noord-Brabant;5695;367;1807
Oisterwijk;Noord-Brabant;5703;359;2573
Oldebroek;Gelderland;5799;408;2300
Oldenzaal;Overijssel;5784;478;3212
Ommen;Overijssel;5808;444;1734
Oosterhout;Noord-Brabant;5710;336;5379
Oostzaan;Noord-Holland;5798;337;918
Opmeer;Noord-Holland;5828;341;1130
Oss;Noord-Brabant;5724;381;8979
Oud-Beijerland;Zuid-Holland;5730;305;2370
Oudewater;Utrecht;5753;336;992
Papendrecht;Zuid-Holland;5731;324;3218
Purmerend;Noord-Holland;5806;343;7961
Putten;Gelderland;5778;387;2437
Raalte;Overijssel;5793;433;3660
Renkum;Gelderland;5747;396;3140
Renswoude;Utrecht;5758;382;497
Rheden;Gelderland;5750;416;4362
Rhenen;Utrecht;5746;385;1930
Ridderkerk;Zuid-Holland;5736;318;4514
Roermond;Limburg;5660;415;5700
Roosendaal;Noord-Brabant;5698;308;7687
Rotterdam;Zuid-Holland;5741;310;62365
Rozendaal;Gelderland;5750;412;150
Rucphen;Noord-Brabant;5698;315;2223
Schagen;Noord-Holland;5837;331;4613
Scherpenzeel;Zuid-Holland;5758;379;952
Schiedam;Zuid-Holland;5741;303;7686
